Game_Name,Timestamp,Unit,Name,Value
Loto649,2020-10-16 23:31:12.22,Line-1,N-1,4
Loto649,2020-10-16 23:31:12.22,Line-1,N-2,12
Loto649,2020-10-16 23:31:12.22,Line-1,N-3,27
Loto649,2020-10-16 23:31:12.22,Line-1,N-4,33
Loto649,2020-10-16 23:31:12.22,Line-1,N-5,38
Loto649,2020-10-16 23:31:12.22,Line-1,N-6,45
Loto649,2020-10-16 23:31:12.22,Line-2,N-1,5
Loto649,2020-10-16 23:31:12.22,Line-2,N-2,6
Loto649,2020-10-16 23:31:12.22,Line-2,N-3,8
Loto649,2020-10-16 23:31:12.22,Line-2,N-4,9
Loto649,2020-10-16 23:31:12.22,Line-2,N-5,20
Loto649,2020-10-16 23:31:12.22,Line-2,N-6,30
Loto649,2020-10-16 23:31:12.22,Line-3,N-1,13
Loto649,2020-10-16 23:31:12.22,Line-3,N-2,14
Loto649,2020-10-16 23:31:12.22,Line-3,N-3,24
Loto649,2020-10-16 23:31:12.22,Line-3,N-4,43
Loto649,2020-10-16 23:31:12.22,Line-3,N-5,44
Loto649,2020-10-16 23:31:12.22,Line-3,N-6,49
Loto649,2020-10-16 23:31:12.22,Line-4,N-1,11
Loto649,2020-10-16 23:31:12.22,Line-4,N-2,16
Loto649,2020-10-16 23:31:12.22,Line-4,N-3,35
Loto649,2020-10-16 23:31:12.22,Line-4,N-4,39
Loto649,2020-10-16 23:31:12.22,Line-4,N-5,41
Loto649,2020-10-16 23:31:12.22,Line-4,N-6,47
Loto649,2020-10-16 23:31:12.22,Line-5,N-1,3
Loto649,2020-10-16 23:31:12.22,Line-5,N-2,22
Loto649,2020-10-16 23:31:12.22,Line-5,N-3,26
Loto649,2020-10-16 23:31:12.22,Line-5,N-4,28
Loto649,2020-10-16 23:31:12.22,Line-5,N-5,34
Loto649,2020-10-16 23:31:12.22,Line-5,N-6,42
Loto649,2020-10-16 23:31:12.22,Line-6,N-1,1
Loto649,2020-10-16 23:31:12.22,Line-6,N-2,2
Loto649,2020-10-16 23:31:12.22,Line-6,N-3,15
Loto649,2020-10-16 23:31:12.22,Line-6,N-4,17
Loto649,2020-10-16 23:31:12.22,Line-6,N-5,19
Loto649,2020-10-16 23:31:12.22,Line-6,N-6,21
Loto649,2020-10-16 23:31:12.22,Line-7,N-1,7
Loto649,2020-10-16 23:31:12.22,Line-7,N-2,18
Loto649,2020-10-16 23:31:12.22,Line-7,N-3,23
Loto649,2020-10-16 23:31:12.22,Line-7,N-4,29
Loto649,2020-10-16 23:31:12.22,Line-7,N-5,32
Loto649,2020-10-16 23:31:12.22,Line-7,N-6,40
Loto649,2020-10-16 23:31:12.22,Line-8,N-1,10
Loto649,2020-10-16 23:31:12.22,Line-8,N-2,25
Loto649,2020-10-16 23:31:12.22,Line-8,N-3,31
Loto649,2020-10-16 23:31:12.22,Line-8,N-4,36
Loto649,2020-10-16 23:31:12.22,Line-8,N-5,37
Loto649,2020-10-16 23:31:12.22,Line-8,N-6,46
LotoJoker,2020-10-16 23:31:12.31,Line-1,N-1,2
LotoJoker,2020-10-16 23:31:12.31,Line-1,N-2,8
LotoJoker,2020-10-16 23:31:12.31,Line-1,N-3,30
LotoJoker,2020-10-16 23:31:12.31,Line-1,N-4,37
LotoJoker,2020-10-16 23:31:12.31,Line-1,N-5,41
LotoJoker,2020-10-16 23:31:12.31,Line-1,J,2
LotoJoker,2020-10-16 23:31:12.31,Line-2,N-1,16
LotoJoker,2020-10-16 23:31:12.31,Line-2,N-2,27
LotoJoker,2020-10-16 23:31:12.31,Line-2,N-3,32
LotoJoker,2020-10-16 23:31:12.31,Line-2,N-4,36
LotoJoker,2020-10-16 23:31:12.31,Line-2,N-5,44
LotoJoker,2020-10-16 23:31:12.31,Line-2,J,18
LotoJoker,2020-10-16 23:31:12.31,Line-3,N-1,5
LotoJoker,2020-10-16 23:31:12.31,Line-3,N-2,10
LotoJoker,2020-10-16 23:31:12.31,Line-3,N-3,21
LotoJoker,2020-10-16 23:31:12.31,Line-3,N-4,25
LotoJoker,2020-10-16 23:31:12.31,Line-3,N-5,43
LotoJoker,2020-10-16 23:31:12.31,Line-3,J,8
LotoJoker,2020-10-16 23:31:12.31,Line-4,N-1,4
LotoJoker,2020-10-16 23:31:12.31,Line-4,N-2,11
LotoJoker,2020-10-16 23:31:12.31,Line-4,N-3,14
LotoJoker,2020-10-16 23:31:12.31,Line-4,N-4,18
LotoJoker,2020-10-16 23:31:12.31,Line-4,N-5,31
LotoJoker,2020-10-16 23:31:12.31,Line-4,J,19
LotoJoker,2020-10-16 23:31:12.31,Line-5,N-1,12
LotoJoker,2020-10-16 23:31:12.31,Line-5,N-2,26
LotoJoker,2020-10-16 23:31:12.31,Line-5,N-3,29
LotoJoker,2020-10-16 23:31:12.31,Line-5,N-4,39
LotoJoker,2020-10-16 23:31:12.31,Line-5,N-5,40
LotoJoker,2020-10-16 23:31:12.31,Line-5,J,13
LotoJoker,2020-10-16 23:31:12.31,Line-6,N-1,15
LotoJoker,2020-10-16 23:31:12.31,Line-6,N-2,19
LotoJoker,2020-10-16 23:31:12.31,Line-6,N-3,20
LotoJoker,2020-10-16 23:31:12.31,Line-6,N-4,22
LotoJoker,2020-10-16 23:31:12.31,Line-6,N-5,34
LotoJoker,2020-10-16 23:31:12.31,Line-6,J,12
LotoJoker,2020-10-16 23:31:12.31,Line-7,N-1,1
LotoJoker,2020-10-16 23:31:12.31,Line-7,N-2,17
LotoJoker,2020-10-16 23:31:12.31,Line-7,N-3,23
LotoJoker,2020-10-16 23:31:12.31,Line-7,N-4,28
LotoJoker,2020-10-16 23:31:12.31,Line-7,N-5,42
LotoJoker,2020-10-16 23:31:12.31,Line-7,J,6
LotoJoker,2020-10-16 23:31:12.31,Line-8,N-1,3
LotoJoker,2020-10-16 23:31:12.31,Line-8,N-2,7
LotoJoker,2020-10-16 23:31:12.31,Line-8,N-3,9
LotoJoker,2020-10-16 23:31:12.31,Line-8,N-4,24
LotoJoker,2020-10-16 23:31:12.31,Line-8,N-5,35
LotoJoker,2020-10-16 23:31:12.31,Line-8,J,7
LotoJoker,2020-10-16 23:31:12.31,Line-9,N-1,6
LotoJoker,2020-10-16 23:31:12.31,Line-9,N-2,13
LotoJoker,2020-10-16 23:31:12.31,Line-9,N-3,33
LotoJoker,2020-10-16 23:31:12.31,Line-9,N-4,38
LotoJoker,2020-10-16 23:31:12.31,Line-9,N-5,45
LotoJoker,2020-10-16 23:31:12.31,Line-9,J,15
Loto649,2020-10-17 01:36:19.78,Line-1,N-1,1
Loto649,2020-10-17 01:36:19.78,Line-1,N-2,13
Loto649,2020-10-17 01:36:19.78,Line-1,N-3,20
Loto649,2020-10-17 01:36:19.78,Line-1,N-4,31
Loto649,2020-10-17 01:36:19.78,Line-1,N-5,34
Loto649,2020-10-17 01:36:19.78,Line-1,N-6,45
Loto649,2020-10-17 01:36:19.78,Line-2,N-1,6
Loto649,2020-10-17 01:36:19.78,Line-2,N-2,7
Loto649,2020-10-17 01:36:19.78,Line-2,N-3,11
Loto649,2020-10-17 01:36:19.78,Line-2,N-4,24
Loto649,2020-10-17 01:36:19.78,Line-2,N-5,36
Loto649,2020-10-17 01:36:19.78,Line-2,N-6,41
Loto649,2020-10-17 01:36:19.78,Line-3,N-1,10
Loto649,2020-10-17 01:36:19.78,Line-3,N-2,19
Loto649,2020-10-17 01:36:19.78,Line-3,N-3,25
Loto649,2020-10-17 01:36:19.78,Line-3,N-4,27
Loto649,2020-10-17 01:36:19.78,Line-3,N-5,44
Loto649,2020-10-17 01:36:19.78,Line-3,N-6,49
Loto649,2020-10-17 01:36:19.78,Line-4,N-1,3
Loto649,2020-10-17 01:36:19.78,Line-4,N-2,23
Loto649,2020-10-17 01:36:19.78,Line-4,N-3,29
Loto649,2020-10-17 01:36:19.78,Line-4,N-4,30
Loto649,2020-10-17 01:36:19.78,Line-4,N-5,40
Loto649,2020-10-17 01:36:19.78,Line-4,N-6,43
Loto649,2020-10-17 01:36:19.78,Line-5,N-1,14
Loto649,2020-10-17 01:36:19.78,Line-5,N-2,18
Loto649,2020-10-17 01:36:19.78,Line-5,N-3,32
Loto649,2020-10-17 01:36:19.78,Line-5,N-4,33
Loto649,2020-10-17 01:36:19.78,Line-5,N-5,37
Loto649,2020-10-17 01:36:19.78,Line-5,N-6,46
Loto649,2020-10-17 01:36:19.78,Line-6,N-1,2
Loto649,2020-10-17 01:36:19.78,Line-6,N-2,8
Loto649,2020-10-17 01:36:19.78,Line-6,N-3,21
Loto649,2020-10-17 01:36:19.78,Line-6,N-4,28
Loto649,2020-10-17 01:36:19.78,Line-6,N-5,35
Loto649,2020-10-17 01:36:19.78,Line-6,N-6,47
Loto649,2020-10-17 01:36:19.78,Line-7,N-1,5
Loto649,2020-10-17 01:36:19.78,Line-7,N-2,9
Loto649,2020-10-17 01:36:19.78,Line-7,N-3,12
Loto649,2020-10-17 01:36:19.78,Line-7,N-4,17
Loto649,2020-10-17 01:36:19.78,Line-7,N-5,22
Loto649,2020-10-17 01:36:19.78,Line-7,N-6,39
Loto649,2020-10-17 01:36:19.78,Line-8,N-1,4
Loto649,2020-10-17 01:36:19.78,Line-8,N-2,15
Loto649,2020-10-17 01:36:19.78,Line-8,N-3,16
Loto649,2020-10-17 01:36:19.78,Line-8,N-4,26
Loto649,2020-10-17 01:36:19.78,Line-8,N-5,42
Loto649,2020-10-17 01:36:19.78,Line-8,N-6,48
LotoJoker,2020-10-17 01:36:19.88,Line-1,N-1,23
LotoJoker,2020-10-17 01:36:19.88,Line-1,N-2,33
LotoJoker,2020-10-17 01:36:19.88,Line-1,N-3,38
LotoJoker,2020-10-17 01:36:19.88,Line-1,N-4,39
